xStart;yStart;xEnde;yEnde;Zeit
Bewegung bei y=0
0;300;190;300;0.301767110825
0;300;200;300;0.31084895134
0;300;210;300;0.322886943817
0;300;220;300;0.330841064453
0;300;230;300;0.34589099884
0;300;240;300;0.35088300705
0;300;250;300;0.359019041061
0;300;260;300;0.369795084


Bewegung bei y=330
0;330;0;330;0.0572118759155
0;330;10;330;0.152311086655
0;330;20;330;0.161060094833
0;330;30;330;0.166198015213
0;330;40;330;0.18908905983
0;330;50;330;0.194083929062
0;330;60;330;0.205937862396
0;330;70;330;0.212792873383
0;330;80;330;0.222014188766
0;330;90;330;0.221616983414
0;330;100;330;0.229881048203
0;330;110;330;0.262880086899
0;330;120;330;0.245935916901
0;330;130;330;0.257883071899
0;330;140;330;0.267011880875
0;330;150;330;0.269781112671
0;330;160;330;0.281898975372
0;330;170;330;0.287053108215
0;330;180;330;0.293884992599
0;330;190;330;0.301790952682
0;330;200;330;0.310883045197
0;330;210;330;0.322926998138
0;330;220;330;0.329755067825
0;330;230;330;0.346173048019
0;330;240;330;0.346027135849
0;330;250;330;0.358057022095
0;330;260;330;0.370928049088


Bewegung bei y=360
0;360;0;360;0.0528769493103
0;360;10;360;0.15246796608
0;360;20;360;0.160919904709
0;360;30;360;0.16490316391
0;360;40;360;0.189902067184
0;360;50;360;0.19390296936
0;360;60;360;0.201936006546
0;360;70;360;0.212769985199
0;360;80;360;0.221868991852
0;360;90;360;0.221896886826
0;360;100;360;0.229909896851
0;360;110;360;0.261651039124
0;360;120;360;0.245902061462
0;360;130;360;0.261919975281
0;360;140;360;0.261879920959
0;360;150;360;0.269880056381
0;360;160;360;0.281898975372
0;360;170;360;0.286880016327
0;360;180;360;0.293869018555
0;360;190;360;0.303221940994
0;360;200;360;0.310127019882
0;360;210;360;0.323261976242
0;360;220;360;0.330997228622
0;360;230;360;0.346868038177
0;360;240;360;0.345864057541
0;360;250;360;0.358865976334
0;360;260;360;0.37087893486


Bewegung bei y=390
0;390;0;390;0.0529141426086
0;390;10;390;0.152395963669
0;390;20;390;0.16091799736
0;390;30;390;0.168894052505
0;390;40;390;0.189913988113
0;390;50;390;0.197997093201
0;390;60;390;0.201874017715
0;390;70;390;0.208808898926
0;390;80;390;0.221881866455
0;390;90;390;0.22193813324
0;390;100;390;0.22993016243
0;390;110;390;0.261626005173
0;390;120;390;0.245899200439
0;390;130;390;0.253878116608
0;390;140;390;0.26189494133
